ID,Log,logDate,logDuration,logClass,success,bossNameID
213,https://dps.report/lBTO-20210915-181712_ai,2021-09-15 16:16:52,19.799,1,0,4
214,https://dps.report/OaC3-20210915-181553_ai,2021-09-15 16:15:33,19.7,1,0,4
215,https://dps.report/1t8D-20210915-181500_ai,2021-09-15 16:14:38,21.193,1,0,4
216,https://dps.report/v2TP-20210915-181409_ai,2021-09-15 16:13:46,22.49,1,0,4
217,https://dps.report/7V3d-20210915-181310_ai,2021-09-15 16:12:50,19.585,1,0,4
218,https://dps.report/pN94-20210915-175753_siax,2021-09-15 15:56:56,54.091,1,1,11
219,https://dps.report/Qg4J-20210915-175401_mama,2021-09-15 15:52:52,60.722,1,1,12
222,https://dps.report/WkHs-20210915-175119_arkk,2021-09-15 15:49:08,124.981,1,1,1
225,https://dps.report/nQ3x-20211019-191032_skor,2021-10-19 17:09:46,46.697,0,0,3
226,https://dps.report/dlYo-20211020-185433_skor,2021-10-20 16:53:37,55.388,0,1,3
227,https://dps.report/OSAn-20211020-185237_skor,2021-10-20 16:51:55,43.198,0,0,3
228,https://dps.report/kwqn-20211020-185112_skor,2021-10-20 16:50:57,15.378,0,0,3
229,https://dps.report/kLxT-20211020-185010_skor,2021-10-20 16:49:57,14.387,0,0,3
230,https://dps.report/hdRj-20211020-184847_skor,2021-10-20 16:47:52,56.669,0,0,3
231,https://dps.report/K0BJ-20211020-184700_skor,2021-10-20 16:46:47,14.689,0,0,3
232,https://dps.report/DciS-20211020-184538_skor,2021-10-20 16:44:39,59.889,0,0,3
233,https://dps.report/G0rz-20211020-184408_skor,2021-10-20 16:43:39,29.596,0,0,3
234,https://dps.report/NRZO-20211020-184141_skor,2021-10-20 16:41:31,10.386,0,0,3
235,https://dps.report/ykxl-20211020-184058_skor,2021-10-20 16:40:01,57.66,0,0,3
236,https://dps.report/C0hK-20211020-183758_skor,2021-10-20 16:37:53,5.394,0,0,16
237,https://dps.report/5mHz-20211020-183446_skor,2021-10-20 16:34:32,15.487,0,0,3
238,https://dps.report/PI7l-20211020-183251_skor,2021-10-20 16:32:34,17.685,0,0,3
239,https://dps.report/oOiJ-20211020-182855_skor,2021-10-20 16:28:33,23.078,0,0,3
240,https://dps.report/xVFd-20211020-182644_skor,2021-10-20 16:26:05,40.177,0,0,3
241,https://dps.report/tNcB-20211020-182350_skor,2021-10-20 16:22:51,57.594,0,1,3
242,https://dps.report/c03H-20211020-182211_skor,2021-10-20 16:21:26,46.492,0,0,3
243,https://dps.report/rLEV-20211020-182042_skor,2021-10-20 16:20:37,5.689,0,0,16
244,https://dps.report/eYFl-20211020-181632_skor,2021-10-20 16:15:35,57.19,0,1,3
245,https://dps.report/9dwt-20211020-181436_skor,2021-10-20 16:13:41,56.784,0,0,3
246,https://dps.report/XHTM-20211020-181038_skor,2021-10-20 16:09:38,58.683,0,1,3
247,https://dps.report/N9aH-20211020-180546_skor,2021-10-20 16:05:27,20,0,0,3
248,https://dps.report/CD6C-20211020-175929_skor,2021-10-20 15:58:29,59,0,1,3
249,https://dps.report/PQHF-20211020-175509_skor,2021-10-20 15:54:08,59.2,0,1,3
250,https://dps.report/f3nv-20211020-174950_skor,2021-10-20 15:48:50,59.585,0,1,3
251,https://dps.report/KzMN-20211020-174533_skor,2021-10-20 15:44:31,61.481,0,1,3
252,https://dps.report/cL6G-20211020-174355_skor,2021-10-20 15:43:42,15.082,0,0,3
253,https://dps.report/2xsL-20211020-174146_skor,2021-10-20 15:41:39,7.799,0,0,16
254,https://dps.report/hL11-20211020-174108_skor,2021-10-20 15:40:57,12.079,0,0,3
255,https://dps.report/FNiF-20211020-173947_skor,2021-10-20 15:38:47,61.294,0,0,3
256,https://dps.report/bCzS-20211020-173627_skor,2021-10-20 15:35:27,60.797,0,0,3
257,https://dps.report/jUCR-20211020-173419_skor,2021-10-20 15:33:38,41.99,0,0,3
258,https://dps.report/VyVd-20211020-173156_skor,2021-10-20 15:31:11,46.194,0,0,3
259,https://dps.report/hKPL-20211020-173040_skor,2021-10-20 15:30:36,5.599,0,0,16
260,https://dps.report/dO2r-20211020-172959_skor,2021-10-20 15:29:42,17.881,0,0,3
261,https://dps.report/wtlP-20211020-172801_skor,2021-10-20 15:27:23,39.481,0,0,3
262,https://dps.report/107n-20211020-172618_skor,2021-10-20 15:25:32,48.081,0,0,3
263,https://dps.report/QKPt-20211020-172501_skor,2021-10-20 15:24:56,6.489,0,0,16
264,https://dps.report/fQ7c-20211020-172327_skor,2021-10-20 15:23:08,19.987,0,0,3
265,https://dps.report/VDRd-20211019-191443_skor,2021-10-19 17:13:32,59.994,0,1,3
266,https://dps.report/RfCz-20211019-191249_skor,2021-10-19 17:11:50,59.29,0,0,3
267,https://dps.report/BPxb-20211019-190904_skor,2021-10-19 17:08:31,33.889,0,0,3
268,https://dps.report/4Cp1-20211019-190746_skor,2021-10-19 17:07:16,30.792,0,0,3
269,https://dps.report/RBFE-20211019-190620_skor,2021-10-19 17:06:01,19.597,0,0,3
270,https://dps.report/81G3-20211019-190438_skor,2021-10-19 17:03:49,49.799,0,0,3
271,https://dps.report/t7AI-20211019-190320_skor,2021-10-19 17:03:05,15.065,0,0,3
272,https://dps.report/KMz9-20211019-190233_skor,2021-10-19 17:02:08,26.185,0,0,3
273,https://dps.report/pbf0-20211019-190120_skor,2021-10-19 17:00:31,50.358,0,0,3
274,https://dps.report/Frpx-20211019-190001_skor,2021-10-19 16:59:44,17.89,0,0,3
275,https://dps.report/T85b-20211019-185718_skor,2021-10-19 16:57:01,17.593,0,0,3
